lib_sizes,x_xmap_y_means,y_xmap_x_means,x_xmap_y_Sig,y_xmap_x_Sig,x_xmap_y_upper,x_xmap_y_lower,y_xmap_x_upper,y_xmap_x_lower
5,6.7994997257862e-4,0,0.495580116324087,0.5,0.120491343569253,-0.11915096786522,0.119821210319069,-0.119821210319069
10,0.00502105481613055,0,0.467397107604078,0.5,0.124767201585302,-0.11486926416798,0.119821210319069,-0.119821210319069
15,0.00956739195881041,0.0214338970082018,0.438057331641377,0.363436545036865,0.129240444072,-0.110380355804459,0.140893260257191,-0.0986406457171034
20,0.0107302585694213,0.0420285522910119,0.430600378168785,0.246632896539413,0.130383832755944,-0.109231391923153,0.161038785457372,-0.0781863978474848
25,0.0160719888328812,0.0545082626363693,0.396700471979162,0.187047569975907,0.135632003765306,-0.103949403625488,0.173198272431159,-0.0657423269930003
30,0.0241835236938563,0.062622825959344,0.34675048106321,0.153534670297004,0.143588657292964,-0.0959156212324981,0.181085255314701,-0.057630819681809
35,0.0303870737642363,0.0685185318127535,0.31021288943501,0.131833092867857,0.149663357410871,-0.0897609576338467,0.186806069270085,-0.0517273587462478
40,0.0356289900148955,0.0770247299523419,0.280711291929596,0.104390703936393,0.15478938761171,-0.0845531870511357,0.195045824060517,-0.043195136766057
45,0.0391273438869818,0.0842758665265842,0.261804387789342,0.0844642282762239,0.158206835362005,-0.081073964339833507,0.202056700939272,-0.035907943510514
50,0.0406216852690106,0.0900330261984102,0.25393093243841097,0.0707806399115893,0.159665748186073,-0.0795869015190374,0.207614518873384,-0.0301130395613515
55,0.0409961181349538,0.0937494986944579,0.251977643619835,0.0628914595246797,0.160031222364453,-0.0792142085754133,0.211198281044699,-0.0263679070283042
60,0.0364069230825135,0.0955879907302492,0.276450748520003,0.0592494806190875,0.155549576127677,-0.0837797614987569,0.212969956311871,-0.0245139898047722
65,0.0327521768255742,0.0970396753241751,0.296735362388488,0.0564916759830491,0.151976967900829,-0.0874120739143177,0.214368336811512,-0.0230495414952021
70,0.0320978097734715,0.0974978473343782,0.300437551597945,0.055642477882125,0.151336978313717,-0.0880620871934217,0.214809585469743,-0.0225872340565883
75,0.0315811477268231,0.09921587951204,0.303375225636219,0.0525471125078832,0.150831597503394,-0.0885752393889003,0.216463732875888,-0.0208532375729065
80,0.0312127885494311,0.101180206281167,0.305477429197043,0.0491762805761383,0.15047124332488,-0.0889410572414529,0.218354191960313,-0.0188697723795786
85,0.0307599378439338,0.102523051137023,0.308070580882692,0.046972426848588,0.150028190314887,-0.0893907392955944,0.21964603379528,-0.0175133001987621
90,0.030297376068605,0.10333394797005,0.310729212636505,0.0456802043504996,0.149575586880649,-0.0898500139050049,0.220425932842761,-0.0166939602659592
95,0.0290875099406032,0.105359309275867,0.317729415529714,0.0425765595969263,0.148391531160221,-0.0910510406292123,0.22237321783827,-0.0146468064280076
100,0.0283690998824068,0.107444225544508,0.321917166939261,0.0395610916085187,0.147688285245698,-0.0917640365743824,0.224376787306367,-0.0125384054240524
105,0.0276213136164907,0.109018122064187,0.326300168021333,0.0374010915731713,0.146956155019216,-0.0925060565259748,0.225888620860552,-0.010946073344717
110,0.0280682090644267,0.109756362896378,0.323677862080736,0.0364214640952227,0.147393709755032,-0.0920626232108506,0.226597556965198,-0.010198975580884201
115,0.0284471659714208,0.109044168411036,0.321461001490569,0.0373661681668332,0.147764709365183,-0.0916865647753649,0.225913635395503,-0.0109197167899358
120,0.0284076235760128,0.107277116049154,0.321692027111889,0.0397962383649118,0.147725998845833,-0.0917258063300183,0.22421623432608,-0.0127074365988396
125,0.0287470747261581,0.104746469810121,0.319711031128726,0.0434972429850389,0.148058296866679,-0.091388925595838,0.221784101408541,-0.0152663461105461
130,0.0298401461627413,0.102150315829865,0.313366893005927,0.047576105538103,0.149128151396774,-0.0903039443225507,0.219287496644335,-0.0178898623700412
135,0.0299317506808453,0.100207557040798,0.312837675672243,0.050823259037621,0.149217797547589,-0.0902130048446983,0.217418228695184,-0.0198520162541556
140,0.0292722400871667,0.0979766781691175,0.316656296890537,0.0547657293454373,0.148572342536927,-0.090867682744172,0.215270678710938,-0.0221040264390378
145,0.0290509528423124,0.0954679444277431,0.317941960866389,0.0594821548645763,0.148355748619865,-0.0910873251988908,0.212854296432232,-0.0246350685254981
150,0.0292261955773735,0.0930744640957538,0.316923631674317,0.0642713788527024,0.148527275537867,-0.090913385976041,0.210547585641319,-0.0270483979346759
155,0.0300284909994245,0.0913552175165295,0.312279203944238,0.0678915631490912,0.14931246757429,-0.0901169646766195,0.208889858297966,-0.0287810384748094
160,0.0308927111488703,0.0902054391106513,0.30730928767907,0.0703986666569119,0.15015809595365,-0.0892589000968758,0.207780844994598,-0.0299393716521586
165,0.0322428694062007,0.0881551918352035,0.299615064394885,0.0750440391762509,0.151478859384576,-0.0879180015296515,0.205802538386987,-0.0320040730843031
170,0.034169006940212,0.0856408514966396,0.288791459137483,0.0810538918872925,0.153362325555872,-0.0860043198369711,0.203375109726061,-0.0345347401834936
175,0.0359246166905471,0.0837849187572894,0.279088503788515,0.0857166538799303,0.155078287704683,-0.0842592903603062,0.201582400945972,-0.0364017362498974
180,0.0380506960494735,0.0820840806679527,0.267553267546315,0.0901624853363781,0.157155390866702,-0.0821450365290459,0.199938810036922,-0.0381119767164237
185,0.0402742913324918,0.0814429256239872,0.255750209198475,0.0918818771582893,0.159326636816772,-0.07993265112673,0.199319062944503,-0.0387564934211228
190,0.0421563771974462,0.0809410581685663,0.245975393571958,0.0932444972750901,0.16116351384051,-0.0780591275833355,0.198833886873114,-0.0392609224620197
195,0.0438215248518449,0.0799872804514605,0.237496333819762,0.0958749130363238,0.162787976505125,-0.0764008470733296,0.197911671124474,-0.0402193995408629
200,0.0454395051407431,0.0789798229299005,0.229412680646592,0.0987118754679657,0.164365806676374,-0.0747889020687152,0.196937325148862,-0.0412315807205285
205,0.0463769160631996,0.0783199192259154,0.224800319473926,0.100602958440529,0.16527967742685,-0.0738547002620059,0.196298983812336,-0.0418944447978089
210,0.0470792160428578,0.0775465425121625,0.221379315472585,0.102852500174538,0.165964207554859,-0.0731546662333843,0.19555074990394,-0.0426711562677661
215,0.0479738460278953,0.0768144843002938,0.217064622891405,0.105015129706056,0.166836035384967,-0.0722627511285792,0.194842364622696,-0.043406237220565
220,0.0488748680691771,0.0760613009062726,0.212768349152647,0.107274128126246,0.167713904531478,-0.0713642689535201,0.194113408761623,-0.0441623947529878
225,0.0493166472428229,0.0750913550044336,0.210680012588607,0.110234288551597,0.168144262786333,-0.0709236637975246,0.19317447086648,-0.0451359678573185
230,0.0494978593227138,0.0745608757481379,0.209826874300316,0.111877674992922,0.168320777054008,-0.0707429197128431,0.192660858890889,-0.0456683342992908
235,0.0497146389463215,0.0744798180097939,0.208808943112862,0.112130312416673,0.168531926788481,-0.0705266895677279,0.192582372789395,-0.0457496743870962
240,0.0502791539023103,0.0746234903317208,0.206171768701837,0.111682797719908,0.16908172980585,-0.0699635524735118,0.192721485930469,-0.0456055005181015
245,0.0509337270709624,0.0745954871143254,0.20313859608371,0.111769923117611,0.16971915145207,-0.069310481012186,0.192694371716914,-0.0456336018851745
250,0.0518671798787693,0.0744483012031692,0.198859269818817,0.112228652102868,0.170627973469969,-0.0683789913938538,0.192551855476608,-0.0457813005461731
255,0.0531499908717864,0.0741914440170333,0.193067303283333,0.113032391273153,0.171876605674781,-0.0670985362225699,0.192303135495328,-0.0460390399522375
260,0.0543215805904092,0.0745662069908486,0.187868015017558,0.111861072992629,0.173016646744683,-0.0659287519006704,0.192666020941695,-0.0456629844303176
265,0.0555835766656596,0.0737469380078299,0.182364725615095,0.114432942279965,0.174244303989015,-0.0646683306481474,0.191872675527965,-0.0464850348753808
